[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
20 26 0 1 4 0 100 44.582 43.407
20 26 1 2 4 0 100 79.435 3.068
20 26 2 3 4 0 100 39.636 2.873
20 26 3 4 4 0 100 41.224 2.840
20 26 4 5 4 0 100 33.573 2.810
20 26 5 6 4 0 100 32.772 2.796
20 26 6 7 4 0 100 30.709 2.772
20 26 7 8 4 0 100 32.936 2.738
20 26 8 9 4 0 100 33.795 2.699
20 26 9 10 4 0 100 34.418 2.670
20 26 10 11 4 0 100 34.652 2.648
20 26 11 12 4 0 100 34.013 2.603
20 26 12 13 4 0 100 36.481 2.594
20 26 13 14 4 0 100 36.249 2.573
20 26 14 15 4 0 100 36.608 2.554
20 26 15 16 4 0 100 36.627 2.533
20 26 16 17 4 0 100 36.713 2.502
20 26 17 18 4 0 100 35.764 2.499
20 26 18 19 4 0 100 39.829 2.495
20 26 19 20 4 0 100 40.757 2.442
20 26 20 21 4 0 100 39.304 2.439
20 26 21 22 4 0 100 40.828 2.425
20 26 22 23 4 0 100 38.003 2.438
20 26 23 24 4 0 100 43.261 2.383
20 26 24 25 4 0 100 45.835 2.392
20 26 25 26 4 0 100 45.723 2.352
20 26 26 27 4 0 100 53.139 2.364
20 26 27 28 4 0 100 52.674 2.296
20 26 28 29 4 0 100 57.082 2.361
20 26 29 30 4 0 100 74.947 2.332
20 26 30 31 4 0 100 100.000 2.238
20 26 31 32 4 0 100 66.274 2.221
20 26 32 33 4 0 100 100.000 1.957
20 26 33 34 4 0 100 100.000 2.287
20 26 34 35 4 0 100 100.000 2.267
20 26 35 36 4 0 100 68.914 35.584
20 26 36 37 4 0 100 100.000 2.213
20 26 37 38 4 0 100 75.900 36.500
20 26 38 39 4 0 100 50.609 42.834
20 26 39 40 4 0 100 99.432 65.409
20 26 40 41 4 0 100 43.703 99.610
20 26 41 42 4 0 100 91.615 56.384
20 26 42 43 4 0 100 23.002 50.755
20 26 43 44 4 0 100 38.816 70.678
20 26 44 45 4 0 100 80.536 51.070
26 32 0 1 4 0 100 95.325 33.695
26 32 1 2 4 0 100 76.710 3.015
26 32 2 3 4 0 100 46.510 2.969
26 32 3 4 4 0 100 31.587 3.031
26 32 4 5 4 0 100 34.277 2.941
26 32 5 6 4 0 100 31.137 2.922
26 32 6 7 4 0 100 29.864 2.889
26 32 7 8 4 0 100 33.330 2.852
26 32 8 9 4 0 100 32.674 2.831
26 32 9 10 4 0 100 33.714 2.802
26 32 10 11 4 0 100 33.396 2.780
26 32 11 12 4 0 100 33.709 2.757
26 32 12 13 4 0 100 33.180 2.730
26 32 13 14 4 0 100 34.441 2.686
26 32 14 15 4 0 100 37.371 2.675
26 32 15 16 4 0 100 37.207 2.664
26 32 16 17 4 0 100 36.099 2.643
26 32 17 18 4 0 100 36.710 2.638
26 32 18 19 4 0 100 36.077 2.609
26 32 19 20 4 0 100 38.090 2.589
26 32 20 21 4 0 100 36.987 2.572
26 32 21 22 4 0 100 39.977 2.550
26 32 22 23 4 0 100 40.967 2.547
26 32 23 24 4 0 100 40.049 2.532
26 32 24 25 4 0 100 42.530 2.501
26 32 25 26 4 0 100 41.824 2.502
26 32 26 27 4 0 100 43.186 2.495
26 32 27 28 4 0 100 52.221 2.475
26 32 28 29 4 0 100 47.809 2.475
26 32 29 30 4 0 100 52.238 2.445
26 32 30 31 4 0 100 67.180 2.404
26 32 31 32 4 0 100 56.197 2.384
26 32 32 33 4 0 100 69.505 2.547
26 32 33 34 4 0 100 100.000 2.593
26 32 34 35 4 0 100 100.000 2.340
26 32 35 36 4 0 100 100.000 2.524
26 32 36 37 4 0 100 100.000 2.300
26 32 37 38 4 0 100 100.000 2.265
26 32 38 39 4 0 100 8.856 96.030
26 32 39 40 4 0 100 10.833 98.172
26 32 40 41 4 0 100 9.867 91.759
26 32 41 42 4 0 100 24.169 41.504
26 32 42 43 4 0 100 96.826 92.486
26 32 43 44 4 0 100 11.535 94.314
26 32 44 45 4 0 100 31.619 94.115
32 40 0 1 4 0 100 30.392 83.825
32 40 1 2 4 0 100 55.130 3.057
32 40 2 3 4 0 100 38.869 3.130
32 40 3 4 4 0 100 32.276 3.141
32 40 4 5 4 0 100 31.775 3.076
32 40 5 6 4 0 100 31.657 3.071
32 40 6 7 4 0 100 31.836 3.011
32 40 7 8 4 0 100 31.945 2.969
32 40 8 9 4 0 100 33.091 2.962
32 40 9 10 4 0 100 30.811 2.946
32 40 10 11 4 0 100 34.037 2.909
32 40 11 12 4 0 100 32.728 2.869
32 40 12 13 4 0 100 32.658 2.865
32 40 13 14 4 0 100 34.319 2.822
32 40 14 15 4 0 100 34.349 2.819
32 40 15 16 4 0 100 34.773 2.798
32 40 16 17 4 0 100 34.230 2.784
32 40 17 18 4 0 100 35.929 2.746
32 40 18 19 4 0 100 37.403 2.749
32 40 19 20 4 0 100 34.578 2.744
32 40 20 21 4 0 100 36.006 2.733
32 40 21 22 4 0 100 37.142 2.689
32 40 22 23 4 0 100 36.764 2.684
32 40 23 24 4 0 100 36.237 2.673
32 40 24 25 4 0 100 36.693 2.679
32 40 25 26 4 0 100 37.530 2.677
32 40 26 27 4 0 100 43.047 2.636
32 40 27 28 4 0 100 43.258 2.598
32 40 28 29 4 0 100 40.524 2.640
32 40 29 30 4 0 100 46.421 2.591
32 40 30 31 4 0 100 57.838 2.559
32 40 31 32 4 0 100 45.522 2.550
32 40 32 33 4 0 100 58.985 2.483
32 40 33 34 4 0 100 67.783 2.544
32 40 34 35 4 0 100 98.059 2.410
32 40 35 36 4 0 100 69.752 2.525
32 40 36 37 4 0 100 100.000 2.581
32 40 37 38 4 0 100 98.883 2.596
32 40 38 39 4 0 100 100.000 2.436
32 40 39 40 4 0 100 100.000 2.618
32 40 40 41 4 0 100 100.000 2.326
32 40 41 42 4 0 100 100.000 2.531
32 40 42 43 4 0 100 100.000 2.264
32 40 43 44 4 0 100 10.542 99.987
32 40 44 45 4 0 100 96.986 62.677
40 51 0 1 4 0 100 6.340 99.999
40 51 1 2 4 0 100 100.000 3.142
40 51 2 3 4 0 100 46.571 3.178
40 51 3 4 4 0 100 34.548 3.259
40 51 4 5 4 0 100 33.152 3.244
40 51 5 6 4 0 100 29.108 3.198
40 51 6 7 4 0 100 30.638 3.195
40 51 7 8 4 0 100 30.369 3.127
40 51 8 9 4 0 100 32.265 3.099
40 51 9 10 4 0 100 32.136 3.082
40 51 10 11 4 0 100 32.583 3.054
40 51 11 12 4 0 100 31.773 3.043
40 51 12 13 4 0 100 33.452 3.019
40 51 13 14 4 0 100 33.705 2.986
40 51 14 15 4 0 100 32.466 2.980
40 51 15 16 4 0 100 33.359 2.951
40 51 16 17 4 0 100 33.056 2.937
40 51 17 18 4 0 100 34.480 2.928
40 51 18 19 4 0 100 33.819 2.900
40 51 19 20 4 0 100 34.355 2.908
40 51 20 21 4 0 100 33.899 2.870
40 51 21 22 4 0 100 36.608 2.858
40 51 22 23 4 0 100 36.843 2.846
40 51 23 24 4 0 100 37.313 2.849
40 51 24 25 4 0 100 38.867 2.808
40 51 25 26 4 0 100 37.565 2.805
40 51 26 27 4 0 100 41.101 2.786
40 51 27 28 4 0 100 36.880 2.794
40 51 28 29 4 0 100 36.882 2.721
40 51 29 30 4 0 100 39.332 2.759
40 51 30 31 4 0 100 49.179 2.695
40 51 31 32 4 0 100 51.291 2.712
40 51 32 33 4 0 100 58.142 2.696
40 51 33 34 4 0 100 64.177 2.696
40 51 34 35 4 0 100 64.989 2.677
40 51 35 36 4 0 100 68.438 2.730
40 51 36 37 4 0 100 100.000 2.771
40 51 37 38 4 0 100 94.298 2.558
40 51 38 39 4 0 100 100.000 2.529
40 51 39 40 4 0 100 100.000 2.532
40 51 40 41 4 0 100 100.000 2.289
40 51 41 42 4 0 100 100.000 2.665
40 51 42 43 4 0 100 41.158 70.610
