[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
20 26 0 1 4 0 100 49.996 3.670
20 26 1 2 4 0 100 12.848 4.227
20 26 2 3 4 0 100 11.007 4.630
20 26 3 4 4 0 100 11.175 4.568
20 26 4 5 4 0 100 10.355 4.791
20 26 5 6 4 0 100 9.836 4.922
20 26 6 7 4 0 100 9.010 5.047
20 26 7 8 4 0 100 9.919 5.306
20 26 8 9 4 0 100 10.415 5.414
20 26 9 10 4 0 100 10.073 5.556
20 26 10 11 4 0 100 10.535 5.795
20 26 11 12 4 0 100 11.003 6.017
20 26 12 13 4 0 100 11.224 6.114
20 26 13 14 4 0 100 10.850 6.356
20 26 14 15 4 0 100 11.437 6.536
20 26 15 16 4 0 100 11.858 6.797
20 26 16 17 4 0 100 12.433 6.997
20 26 17 18 4 0 100 11.530 7.183
20 26 18 19 4 0 100 12.978 7.459
20 26 19 20 4 0 100 13.197 7.645
20 26 20 21 4 0 100 13.851 7.912
20 26 21 22 4 0 100 13.993 8.155
20 26 22 23 4 0 100 13.091 8.291
20 26 23 24 4 0 100 14.208 8.764
20 26 24 25 4 0 100 15.465 8.635
20 26 25 26 4 0 100 17.866 9.088
20 26 26 27 4 0 100 20.388 9.249
20 26 27 28 4 0 100 25.191 9.714
20 26 28 29 4 0 100 17.981 9.419
20 26 29 30 4 0 100 22.915 9.585
20 26 30 31 4 0 100 28.795 10.279
20 26 31 32 4 0 100 45.187 10.495
20 26 32 33 4 0 100 50.000 12.125
20 26 33 34 4 0 100 50.000 12.366
20 26 34 35 4 0 100 46.805 10.476
20 26 35 36 4 0 100 50.000 11.329
20 26 36 37 4 0 100 50.000 12.408
20 26 37 38 4 0 100 1.339 100.000
20 26 38 39 4 0 100 1.496 100.000
20 26 39 40 4 0 100 1.450 100.000
20 26 40 41 4 0 100 50.000 14.110
20 26 41 42 4 0 100 1.563 100.000
20 26 42 43 4 0 100 50.000 13.748
20 26 43 44 4 0 100 50.000 10.287
20 26 44 45 4 0 100 1.568 100.000
26 32 0 1 4 0 100 50.000 3.707
26 32 1 2 4 0 100 19.293 4.804
26 32 2 3 4 0 100 12.591 4.817
26 32 3 4 4 0 100 9.160 5.059
26 32 4 5 4 0 100 10.112 5.281
26 32 5 6 4 0 100 10.006 5.458
26 32 6 7 4 0 100 8.971 5.687
26 32 7 8 4 0 100 9.969 5.826
26 32 8 9 4 0 100 10.408 5.997
26 32 9 10 4 0 100 10.502 6.156
26 32 10 11 4 0 100 10.464 6.357
26 32 11 12 4 0 100 10.289 6.561
26 32 12 13 4 0 100 10.583 6.717
26 32 13 14 4 0 100 10.826 6.963
26 32 14 15 4 0 100 11.489 7.117
26 32 15 16 4 0 100 11.587 7.354
26 32 16 17 4 0 100 11.481 7.530
26 32 17 18 4 0 100 11.305 7.683
26 32 18 19 4 0 100 11.769 7.993
26 32 19 20 4 0 100 12.593 8.203
26 32 20 21 4 0 100 12.515 8.467
26 32 21 22 4 0 100 12.712 8.611
26 32 22 23 4 0 100 14.412 8.860
26 32 23 24 4 0 100 13.595 9.017
26 32 24 25 4 0 100 13.894 9.432
26 32 25 26 4 0 100 17.579 9.432
26 32 26 27 4 0 100 14.802 9.747
26 32 27 28 4 0 100 16.232 10.002
26 32 28 29 4 0 100 16.717 9.858
26 32 29 30 4 0 100 22.248 10.679
26 32 30 31 4 0 100 23.872 10.259
26 32 31 32 4 0 100 20.949 11.070
26 32 32 33 4 0 100 22.221 11.105
26 32 33 34 4 0 100 30.070 11.086
26 32 34 35 4 0 100 50.000 11.531
26 32 35 36 4 0 100 50.000 10.280
26 32 36 37 4 0 100 35.426 11.970
26 32 37 38 4 0 100 50.000 11.478
26 32 38 39 4 0 100 50.000 12.946
26 32 39 40 4 0 100 50.000 11.948
26 32 40 41 4 0 100 50.000 12.535
26 32 41 42 4 0 100 1.296 100.000
26 32 42 43 4 0 100 1.687 100.000
26 32 43 44 4 0 100 50.000 14.963
26 32 44 45 4 0 100 1.576 100.000
32 40 0 1 4 0 100 50.000 6.278
32 40 1 2 4 0 100 10.532 4.906
32 40 2 3 4 0 100 8.855 5.358
32 40 3 4 4 0 100 9.682 5.480
32 40 4 5 4 0 100 9.061 5.868
32 40 5 6 4 0 100 9.623 5.832
32 40 6 7 4 0 100 9.665 6.121
32 40 7 8 4 0 100 10.413 6.345
32 40 8 9 4 0 100 10.683 6.471
32 40 9 10 4 0 100 9.655 6.621
32 40 10 11 4 0 100 10.432 6.833
32 40 11 12 4 0 100 10.115 7.065
32 40 12 13 4 0 100 10.570 7.224
32 40 13 14 4 0 100 10.911 7.489
32 40 14 15 4 0 100 11.135 7.678
32 40 15 16 4 0 100 11.473 7.851
32 40 16 17 4 0 100 11.606 8.027
32 40 17 18 4 0 100 11.723 8.323
32 40 18 19 4 0 100 12.397 8.497
32 40 19 20 4 0 100 12.278 8.637
32 40 20 21 4 0 100 12.730 8.869
32 40 21 22 4 0 100 13.468 9.086
32 40 22 23 4 0 100 12.510 9.312
32 40 23 24 4 0 100 13.918 9.458
32 40 24 25 4 0 100 12.734 9.584
32 40 25 26 4 0 100 14.680 9.865
32 40 26 27 4 0 100 16.855 10.220
32 40 27 28 4 0 100 17.925 10.442
32 40 28 29 4 0 100 17.820 10.371
32 40 29 30 4 0 100 17.063 10.731
32 40 30 31 4 0 100 17.060 10.811
32 40 31 32 4 0 100 21.039 11.076
32 40 32 33 4 0 100 21.277 11.523
32 40 33 34 4 0 100 30.153 11.904
32 40 34 35 4 0 100 23.090 11.409
32 40 35 36 4 0 100 23.972 11.218
32 40 36 37 4 0 100 40.160 12.517
32 40 37 38 4 0 100 50.000 11.597
32 40 38 39 4 0 100 50.000 12.236
32 40 39 40 4 0 100 50.000 12.588
32 40 40 41 4 0 100 33.067 12.916
32 40 41 42 4 0 100 50.000 12.250
32 40 42 43 4 0 100 50.000 13.465
32 40 43 44 4 0 100 1.447 100.000
32 40 44 45 4 0 100 1.522 100.000
40 51 0 1 4 0 100 21.623 3.024
40 51 1 2 4 0 100 18.085 5.254
40 51 2 3 4 0 100 10.847 5.870
40 51 3 4 4 0 100 9.680 6.016
40 51 4 5 4 0 100 9.231 6.122
40 51 5 6 4 0 100 9.336 6.312
40 51 6 7 4 0 100 9.687 6.471
40 51 7 8 4 0 100 10.415 6.756
40 51 8 9 4 0 100 10.315 6.930
40 51 9 10 4 0 100 10.270 7.114
40 51 10 11 4 0 100 10.815 7.346
40 51 11 12 4 0 100 10.547 7.528
40 51 12 13 4 0 100 11.005 7.654
40 51 13 14 4 0 100 11.373 7.928
40 51 14 15 4 0 100 10.988 8.116
40 51 15 16 4 0 100 11.035 8.278
40 51 16 17 4 0 100 11.383 8.501
40 51 17 18 4 0 100 12.240 8.653
40 51 18 19 4 0 100 12.384 8.999
40 51 19 20 4 0 100 12.575 9.129
40 51 20 21 4 0 100 12.971 9.339
40 51 21 22 4 0 100 14.067 9.568
40 51 22 23 4 0 100 13.050 9.708
40 51 23 24 4 0 100 14.102 10.014
40 51 24 25 4 0 100 16.005 10.292
40 51 25 26 4 0 100 14.414 10.330
40 51 26 27 4 0 100 15.936 10.518
40 51 27 28 4 0 100 18.251 10.765
40 51 28 29 4 0 100 15.686 11.084
40 51 29 30 4 0 100 15.295 10.955
40 51 30 31 4 0 100 19.885 11.065
40 51 31 32 4 0 100 21.349 11.217
40 51 32 33 4 0 100 21.427 11.689
40 51 33 34 4 0 100 22.053 11.782
40 51 34 35 4 0 100 43.676 12.079
40 51 35 36 4 0 100 30.749 12.500
40 51 36 37 4 0 100 50.000 11.720
40 51 37 38 4 0 100 31.258 11.761
